route_id, agency_id, route_short_name, route_long_name,route_type
http://irail.be/routes/NMBS/IC528,0,IC528,Welkenraedt - Ostende,2
http://irail.be/routes/NMBS/IC529,0,IC529,Eupen - Ostende,2
http://irail.be/routes/NMBS/IC530,0,IC530,Eupen - Ostende,2
http://irail.be/routes/NMBS/IC531,0,IC531,Eupen - Ostende,2
http://irail.be/routes/NMBS/IC532,0,IC532,Eupen - Ostende,2
http://irail.be/routes/NMBS/IC533,0,IC533,Eupen - Oostende,2
http://irail.be/routes/NMBS/IC534,0,IC534,Eupen - Oostende,2
http://irail.be/routes/NMBS/IC535,0,IC535,Eupen - Oostende,2
http://irail.be/routes/NMBS/IC536,0,IC536,Eupen - Oostende,2
http://irail.be/routes/NMBS/IC537,0,IC537,Eupen - Ostende,2
http://irail.be/routes/NMBS/IC538,0,IC538,Eupen - Ostende,2
http://irail.be/routes/NMBS/IC539,0,IC539,Eupen - Ostende,2
http://irail.be/routes/NMBS/IC540,0,IC540,Eupen - Ostende,2
http://irail.be/routes/NMBS/IC541,0,IC541,Eupen - Ostende,2
http://irail.be/routes/NMBS/IC542,0,IC542,Eupen - Oostende,2
http://irail.be/routes/NMBS/IC543,0,IC543,Eupen - Oostende,2
http://irail.be/routes/NMBS/IC544,0,IC544,Eupen - Oostende,2
http://irail.be/routes/NMBS/IC608,0,IC608,Antwerpen-Centraal - Noorderkempen,2
http://irail.be/routes/NMBS/IC609,0,IC609,Antwerpen-Centraal - Noorderkempen,2
http://irail.be/routes/NMBS/IC610,0,IC610,Antwerpen-Centraal - Noorderkempen,2
http://irail.be/routes/NMBS/IC612,0,IC612,Antwerpen-Centraal - Noorderkempen,2
http://irail.be/routes/NMBS/IC614,0,IC614,Antwerpen-Centraal - Noorderkempen,2
http://irail.be/routes/NMBS/IC615,0,IC615,Antwerpen-Centraal - Noorderkempen,2
http://irail.be/routes/NMBS/IC616,0,IC616,Antwerpen-Centraal - Noorderkempen,2
http://irail.be/routes/NMBS/IC617,0,IC617,Antwerpen-Centraal - Noorderkempen,2
http://irail.be/routes/NMBS/IC618,0,IC618,Antwerpen-Centraal - Noorderkempen,2
http://irail.be/routes/NMBS/IC619,0,IC619,Antwerpen-Centraal - Noorderkempen,2
http://irail.be/routes/NMBS/IC620,0,IC620,Antwerpen-Centraal - Noorderkempen,2
http://irail.be/routes/NMBS/IC621,0,IC621,Antwerpen-Centraal - Noorderkempen,2
http://irail.be/routes/NMBS/IC628,0,IC628,Noorderkempen - Antwerpen-Centraal,2
http://irail.be/routes/NMBS/IC629,0,IC629,Noorderkempen - Antwerpen-Centraal,2
http://irail.be/routes/NMBS/IC630,0,IC630,Noorderkempen - Antwerpen-Centraal,2
http://irail.be/routes/NMBS/IC632,0,IC632,Noorderkempen - Antwerpen-Centraal,2
http://irail.be/routes/NMBS/IC634,0,IC634,Noorderkempen - Antwerpen-Centraal,2
http://irail.be/routes/NMBS/IC635,0,IC635,Noorderkempen - Antwerpen-Centraal,2
http://irail.be/routes/NMBS/IC636,0,IC636,Noorderkempen - Antwerpen-Centraal,2
http://irail.be/routes/NMBS/IC637,0,IC637,Noorderkempen - Antwerpen-Centraal,2
http://irail.be/routes/NMBS/IC638,0,IC638,Noorderkempen - Antwerpen-Centraal,2
http://irail.be/routes/NMBS/IC639,0,IC639,Noorderkempen - Antwerpen-Centraal,2
http://irail.be/routes/NMBS/IC640,0,IC640,Noorderkempen - Antwerpen-Centraal,2
http://irail.be/routes/NMBS/IC641,0,IC641,Noorderkempen - Antwerpen-Centraal,2
http://irail.be/routes/NMBS/IC722,0,IC722,Antwerpen-Centraal - Kortrijk,2
http://irail.be/routes/NMBS/IC723,0,IC723,Antwerpen-Centraal - Gent-Sint-Pieters,2
http://irail.be/routes/NMBS/IC807,0,IC807,Brugge - Kortrijk,2
http://irail.be/routes/NMBS/IC809,0,IC809,Brugge - Kortrijk,2
http://irail.be/routes/NMBS/IC811,0,IC811,Brugge - Kortrijk,2
http://irail.be/routes/NMBS/IC813,0,IC813,Brugge - Kortrijk,2
http://irail.be/routes/NMBS/IC815,0,IC815,Brugge - Kortrijk,2
http://irail.be/routes/NMBS/IC817,0,IC817,Brugge - Kortrijk,2
http://irail.be/routes/NMBS/IC819,0,IC819,Brugge - Kortrijk,2
http://irail.be/routes/NMBS/IC821,0,IC821,Brugge - Kortrijk,2
http://irail.be/routes/NMBS/IC827,0,IC827,Kortrijk - Brugge,2
http://irail.be/routes/NMBS/IC829,0,IC829,Kortrijk - Brugge,2
http://irail.be/routes/NMBS/IC831,0,IC831,Kortrijk - Brugge,2
http://irail.be/routes/NMBS/IC833,0,IC833,Kortrijk - Brugge,2
http://irail.be/routes/NMBS/IC835,0,IC835,Kortrijk - Brugge,2
http://irail.be/routes/NMBS/IC837,0,IC837,Kortrijk - Brugge,2
http://irail.be/routes/NMBS/IC839,0,IC839,Kortrijk - Brugge,2
http://irail.be/routes/NMBS/IC841,0,IC841,Kortrijk - Brugge,2
http://irail.be/routes/NMBS/IC1504,0,IC1504,Brugge - Genk,2
http://irail.be/routes/NMBS/IC1505,0,IC1505,Knokke - Genk,2
http://irail.be/routes/NMBS/IC1506,0,IC1506,Knokke - Genk,2
http://irail.be/routes/NMBS/IC1544,0,IC1544,Genk - Brugge,2
http://irail.be/routes/NMBS/IC1545,0,IC1545,Genk - Brugge,2
http://irail.be/routes/NMBS/IC1806,0,IC1806,Oostende - Antwerpen-Centraal,2
http://irail.be/routes/NMBS/IC1807,0,IC1807,Oostende - Antwerpen-Centraal,2
http://irail.be/routes/NMBS/IC1808,0,IC1808,Oostende - Antwerpen-Centraal,2
http://irail.be/routes/NMBS/IC1809,0,IC1809,Oostende - Antwerpen-Centraal,2
http://irail.be/routes/NMBS/IC1810,0,IC1810,Oostende - Antwerpen-Centraal,2
http://irail.be/routes/NMBS/IC1811,0,IC1811,Oostende - Antwerpen-Centraal,2
http://irail.be/routes/NMBS/IC1812,0,IC1812,Oostende - Antwerpen-Centraal,2
http://irail.be/routes/NMBS/IC1813,0,IC1813,Oostende - Antwerpen-Centraal,2
http://irail.be/routes/NMBS/IC1814,0,IC1814,Oostende - Antwerpen-Centraal,2
http://irail.be/routes/NMBS/IC1815,0,IC1815,Oostende - Antwerpen-Centraal,2
http://irail.be/routes/NMBS/IC1816,0,IC1816,Oostende - Antwerpen-Centraal,2
http://irail.be/routes/NMBS/IC1817,0,IC1817,Oostende - Antwerpen-Centraal,2
http://irail.be/routes/NMBS/IC1818,0,IC1818,Oostende - Antwerpen-Centraal,2
http://irail.be/routes/NMBS/IC1819,0,IC1819,Oostende - Antwerpen-Centraal,2
